subject,startDate,startTime,endDate,endTime,allDayEvent,description,location,private
vs. サンフレッチェ広島  プレシーズンマッチ,2024/2/10,14:00,,16:00,,,＠Eピース,
vs. FC町田ゼルビア 第1節 明治安田J1リーグ,2024/2/24,15:00,,17:00,,,＠Gスタ,
vs. アルビレックス新潟 第2節 明治安田J1リーグ,2024/3/2,15:00,,17:00,,,＠パナスタ,
vs. 横浜F・マリノス 第3節 明治安田J1リーグ,2024/3/9,14:00,,16:00,,,＠日産ス,
vs. ジュビロ磐田 第4節 明治安田J1リーグ,2024/3/16,15:00,,17:00,,,＠パナスタ,
vs. サンフレッチェ広島 第5節 明治安田J1リーグ,2024/3/30,13:00,,15:00,,,＠Eピース,
vs. 京都サンガF.C. 第6節 明治安田J1リーグ,2024/4/3,19:00,,21:00,,,＠パナスタ,
vs. 北海道コンサドーレ札幌 第7節 明治安田J1リーグ,2024/4/6,14:00,,16:00,,,＠札幌ド,
vs. サガン鳥栖 第8節 明治安田J1リーグ,2024/4/14,15:00,,17:00,,,＠パナスタ,
vs. 浦和レッズ 第9節 明治安田J1リーグ,2024/4/20,16:00,,18:00,,,＠埼玉,
vs. 未定 2回戦 1stラウンド JリーグYBCルヴァンカップ,2024/4/24,,,,1,,＠未定,
vs. 鹿島アントラーズ 第10節 明治安田J1リーグ,2024/4/28,15:00,,17:00,,,＠パナスタ,
vs. アビスパ福岡 第11節 明治安田J1リーグ,2024/5/3,16:00,,18:00,,,＠ベススタ,
vs. セレッソ大阪 第12節 明治安田J1リーグ,2024/5/6,13:05,,15:05,,,＠パナスタ,
vs. 名古屋グランパス 第13節 明治安田J1リーグ,2024/5/11,16:00,,18:00,,,＠豊田ス,
vs. 東京ヴェルディ 第14節 明治安田J1リーグ,2024/5/15,19:00,,21:00,,,＠味スタ,
vs. 川崎フロンターレ 第15節 明治安田J1リーグ,2024/5/19,15:00,,17:00,,,＠パナスタ,
vs. FC東京 第16節 明治安田J1リーグ,2024/5/26,15:00,,17:00,,,＠味スタ,
vs. 湘南ベルマーレ 第17節 明治安田J1リーグ,2024/6/1,15:00,,17:00,,,＠レモンS,
vs. 柏レイソル 第18節 明治安田J1リーグ,2024/6/16,18:00,,20:00,,,＠パナスタ,
vs. ヴィッセル神戸 第19節 明治安田J1リーグ,2024/6/22,18:30,,20:30,,,＠パナスタ,
vs. 鹿島アントラーズ 第20節 明治安田J1リーグ,2024/6/26,19:00,,21:00,,,＠カシマ,
vs. FC町田ゼルビア 第21節 明治安田J1リーグ,2024/6/30,18:00,,20:00,,,＠パナスタ,
vs. 横浜F・マリノス 第22節 明治安田J1リーグ,2024/7/6,19:00,,21:00,,,＠パナスタ,
vs. サガン鳥栖 第23節 明治安田J1リーグ,2024/7/14,19:00,,21:00,,,＠駅スタ,
vs. 湘南ベルマーレ 第24節 明治安田J1リーグ,2024/7/20,19:00,,21:00,,,＠パナスタ,
vs. FC東京 第25節 明治安田J1リーグ,2024/8/7,19:00,,21:00,,,＠パナスタ,
vs. 柏レイソル 第26節 明治安田J1リーグ,2024/8/11,19:00,,21:00,,,＠三協F柏,
vs. ヴィッセル神戸 第27節 明治安田J1リーグ,2024/8/17,19:00,,21:00,,,＠ノエスタ,
vs. アビスパ福岡 第28節 明治安田J1リーグ,2024/8/24,18:30,,20:30,,,＠パナスタ,
vs. セレッソ大阪 第29節 明治安田J1リーグ,2024/8/31,19:00,,21:00,,,＠ヨドコウ,
vs. 浦和レッズ 第30節 明治安田J1リーグ,2024/9/14,,,,1,日程未確定,＠パナスタ,
vs. 京都サンガF.C. 第31節 明治安田J1リーグ,2024/9/21,,,,1,日程未確定,＠サンガS,
vs. 東京ヴェルディ 第32節 明治安田J1リーグ,2024/9/28,,,,1,日程未確定,＠パナスタ,
vs. 北海道コンサドーレ札幌 第33節 明治安田J1リーグ,2024/10/5,,,,1,日程未確定,＠パナスタ,
vs. 川崎フロンターレ 第34節 明治安田J1リーグ,2024/10/19,,,,1,日程未確定,＠U等々力,
vs. 名古屋グランパス 第35節 明治安田J1リーグ,2024/11/3,,,,1,,＠パナスタ,
vs. ジュビロ磐田 第36節 明治安田J1リーグ,2024/11/9,,,,1,,＠ヤマハ,
vs. アルビレックス新潟 第37節 明治安田J1リーグ,2024/11/30,,,,1,,＠デンカS,
vs. サンフレッチェ広島 第38節 明治安田J1リーグ,2024/12/8,,,,1,,＠パナスタ,
